,title,company,salary,summary,location,Experience
5036,Network Development Engineer,"Amazon Data Services, Inc.",,"Influence technology roadmaps, construct and test his/her solutions.
3+ in automation via Bash/shell scripting and Perl/Python programming.","Arlington, VA",5
5037,Automation QA Engineer,DC Signature Corporation,,Deploy test automation to continuous integration environment and to ensure that test results are delivered in appropriate ways.,"Silver Spring, MD",5
5038,Senior System and Software Test Engineer (SE6),KaRDS Cyber Solutions,,"Expertise in data analysis, test metrics collection and interpretation, and test automation.
Candidate will assist the test lead in identification and selection…","Fort Meade, MD",3
5039,Systems Engineer 4,PNC,,"A typical systems engineer analyzes user needs, and then designs, tests, and develops software to meet those needs.
ServiceNow experience is a must have.","Bethesda, MD•Remote",6
5040,Senior Automation Solutions Engineer,Leidos,"$91,000 - $140,000 a year","Prior experience with cloud automation with AWS and Azure.
Bachelor's degree and 8+ years of experience related to systems and automation engineering.","Reston, VA 20170",5
5041,Splunk Engineer,True Zero Technologies,,"SaltStack, Ansible, and other enterprise automation tool experience.
The candidate will also have access to our internal Slack channel to stay connected with…","Washington, DC+2 locations",7
5042,Network Systems Administrator,Zuckerman Spaeder LLP,,"Participate in biannual Disaster Recovery tests.
Working knowledge and experience using Windows PowerShell for automation and operations tasks.","Washington, DC 20036 (Downtown area)",3
5043,Automation Tester,"RIVA Solutions, Inc.",,"Experience writing test cases from unit test level to functional, based.
4+ years of experience with the creation of test cases, test suites, requirements…","Washington, DC",6
5044,WINDOWS SERVER ENGINEER,CEDENT,,"Provide work guidance or technical assistance to less senior engineers.
Develop and document an integrated test plan for certification of technology solutions…","Reston, VA",7
5045,Test Lead,Peraton,,"Experience with using Selenium to create browser-based regression automation test environments.
Experience with testing design in creating a virtual test…","Fort Meade, MD",7
5046,Cybersecurity Engineer- Senior,"QuantiTech, Inc.",,Assist with the hardening of systems under test to conform will all applicable regulations from DoD and the Defense Information Systems Agency (DISA).,"Arlington, VA 22202 (Aurora Highlands area)",7
5047,Master Software Engineer - ICM Varicent,Capital One,,"Design and develop automation workflows, performing unit tests and conducting reviews to make sure your work is rigorously designed, elegantly coded, and…","Takoma Park, MD 20913+1 location",3
5048,HVAC 2,"M.C. Dean, Inc.",,"Capable of utilizing appropriate test equipment to perform system and equipment diagnostics.
Ability to utilize hand tools and test equipment to perform…","Washington, DC 20018 (Langdon area)+1 location",6
5049,Tester Engineer - Data Migration (Secret Clearance required),Microhealth LLC,,"Design, develop, evaluate and update test scenarios, test plans, and test procedures as necessary.
Design, develop, and document automated test scripts to…","Washington, DC 22202 (Aurora Highlands area)",3
5050,DevSecOps Engineer,Paradyme Management,,"Deep understanding of DevSecOps including proficiency in CI/CD automation.
This role requires technical knowledge, adaptability, hands on execution, and a drive…","Washington, DC•Remote",3
5051,Sales Engineer,Turn-Key Solutions,,"Sale of automation equipment and system integration.
Must pass background check and drug test as a condition of employment.
Full Time+: M-F 8 hours per day.","Germantown, MD",4
5052,Expert Systems Engineer,"InTec, LLC",,"Assists the Government in directing requirements engineering, solutions engineering, scheduling, reliability, resiliency, services development, integration,…","Fairfax, VA+1 location",5
5053,Automation Tester - Software,Arlluk Technology Solutions,,"Work with team members to identify, architect, and implement test automation solutions.
Experience in architecting automation framework.","Chantilly, VA 20151•Remote",3
5054,Geospatial Data Services Engineer,"Trusted Concepts, Inc",,"Experience with automation technologies (Ansible, Puppet) or a desire to learn and build systems with automation technologies.
Hands-on experience with Linux.","McLean, VA",3
5055,Remote Functional Verification Application Engineer,Siemens,,"Writing and debugging directed and random test cases.
Designing and implementing SystemVerilog / UVM test benches for constrained-random verification.","Reston, VA 20191•Remote",1
5056,SENIOR MECHANICAL QUALITY ENGINEER,Microsoft,,"Identify product specification and test procedure gaps for early detection of issues, Partner with engineering and the suppliers on better designs to prevent…","Reston, VA 20190 (Sunset Hills area)",5
5057,Security Engineer,Guidehouse,,"Experience using automation and scripting to deploy and monitor systems.
Review test results for accuracy, probability, and impact.","Washington, DC 20036 (Dupont Circle area)",4
5058,Senior Test Engineer,Power3 Solutions and Partnering Companies,,"Focus on test automation and research new methodologies of automated testing.
Develop, maintain and update test cases using a test case management tool such as…","Fort Meade, MD",1
5059,"Specialist, Cloud Test Engineer – NOAA OMS NCCF",L3Harris Technologies,,"Develop quality test automation solutions for performance testing.
This position will develop quality test automation solutions for performance testing.","Suitland-Silver Hill, MD",7
5060,Continuous Monitoring Assessment Analyst Engineer,TestPros,,"TestPros is a successful and growing business, established in 1988 to provide Information Technology (IT) technical support services to a wide range of…","Suitland, MD",7
5061,Software Engineer (Skill Level 3),LOCKHEED MARTIN CORPORATION,"$3,000 a week","Reviews and tests software components for alignment to the design requirements and documents test results.
Works individually or as part of a team.","Annapolis Junction, MD 20701",7
5062,Software Engineer,ST Engineering iDirect,,"Be involved in the complete development cycle: analysis design, coding, test automation and bug fixing.
Work closely with our embedded developers, linux system…","Herndon, VA 20171",1
5063,Automation Engineer - Bolling AFB - TS/SCI REQUIRED,General Dynamics Information Technology,,Responsible for collaborating with business units to understand how automation can improve workflow opportunities for automation within software processes;…,"Washington, DC 20003 (Navy Yard area)",5
5064,AUTOMATION Tester and QA SME,Wintrio,"$15,000 a month","Quality Engineer experienced in Test “Automation (not manual testing)”, Test design, Test Architecture.
Selenium WebDriver with Java, JUnit, Cucumber,.","Reston, VA",4
5065,Quality Assurance (QA) Test Engineer,Tiber Creek,,"Develop and execute test scripts and test cases; test plans, test reports, root-cause analysis, and security certification compliance testing.","Fairfax, VA 22033",5
5066,CSV Engineer,Horizon Controls Group,,"Proven ability to write and execute test protocols.
Participate in the execution of the commissioning and qualification test documentation.","Washington, DC 20001 (Shaw area)",5
5067,Senior Software Developer in Test,Appian Corporation,,"We are streamlining how our software engineers write code and push it to production through smart automation.
Linux, bash, and general automation infrastructure…","McLean, VA",1
5068,Quality Assurance Engineer I,"comScore, Inc.",,"Writes and executes detailed test cases; performs complex manual, integration, and regression tests.
Participate in all phases of the software development life…","Reston, VA 20190 (Sunset Hills area)",7
5069,Storage Engineer,General Dynamics Information Technology,,"Prior experience working on complex deployments involving automation.
Perform system updates, make recommendations on server configurations, and implement…","Chantilly, VA 20151",3
5070,"TELECOM ENGINEER IV (Python, Node JS)",Change Healthcare,,"Research, develop and test cloud contact center solutions to improve business processes and outcomes.
This job will require developing CI/CD processes and…","Washington, DC",2
5071,Senior Test Engineer,Octo,,"Support test planning, test design, test procedures, test scripts, test execution, and test evaluation.
Report test defects per test environments as well as…","Reston, VA 20191 (Hunter area)•Remote",3
5072,Frontend Principal Engineer (Remote),CloudBolt Software,,"Collaborate with backend and quality engineers to spec, write, test, and deploy code that integrates with real-time data streams and API endpoints.","Rockville, MD 20852•Remote",6
5073,Salesforce QA Engineer,TDI,,"Experience designing and building QA automation scripts.
Lead and support offshore QA engineers to find and fix defects.
This position is remote full-time.","Washington, DC 20006 (Foggy Bottom area)•Remote",6
5074,TSAS Engineers,Cavan Solutions,,"Experience with and operational knowledge of FAA automation and decision support systems (e.g., TBFM, ERAM, ARTS/STARS, TFMS).","Washington, DC 20024 (Southwest Federal Center area)",1
5075,Full Stack Developer,Piper Companies,$55 - $70 an hour,"Two (2) years of recent experience with designing and performing unit tests and automated tests.
6+ years of experience on a software engineering team,…","Washington, DC",6
5076,Principal Engineer Test,Peraton,,"Experience developing test automation in an AWS cloud environment (e.g. AWS Devicefarm, CI/CD automation tools, etc.) and/or Java environment (e.g. Selenium,…","Vienna, VA+2 locations",5
5077,Test Engineer 3,INNOPLEX,,"Test automation experience is desired - ideally for both software and hardware test automation.
Testers should have test automation experience.","Annapolis Junction, MD+1 location",4
5078,Sr. Systems Engineer -P2E Fort Belvoir,Axiologic Solutions,,"The Contractor shall be involved in vendor testing of systems including reviewing test plans, procedures, and reports; witnessing testing; developing test…","Fort Belvoir, VA",7
5079,Senior Data science Engineer - Remote,RapidSoft Corp,,Duties and Responsibilities: • Develop data solutions in collaboration with other team members and software engineering teams that meet and anticipate business…,"Reston, VA•Remote",6
5080,Principal Software Development Engineer in Test,Akamai,,"You will collaborate with teams to design, implement, maintain and extend effective system test automation solutions.","Reston, VA",3
5081,Network Engineer (Cloud) - Immediate Need,Grindstone,,"Experience with automation, scripting, and the design of workflows.
The engineer will apply standardized and consistent engineering methods to ensure…","Rockville, MD",2
5082,Energy Project Manager,Cushman & Wakefield,,"Create and QC commissioning documents – e.g. Cx plans, test plans, Systems Manuals, and final reports.
Provide consultation to clients or other engineers on…","Washington, DC 20036 (Dupont Circle area)",2
5083,HVAC 2,"M.C. Dean, Inc.",,"Capable of utilizing appropriate test equipment to perform system and equipment diagnostics.
Ability to utilize hand tools and test equipment to perform…","Washington, DC 20018 (Langdon area)",2
5084,Tester Engineer - Data Migration (Secret Clearance required),Microhealth LLC,,"Design, develop, evaluate and update test scenarios, test plans, and test procedures as necessary.
Design, develop, and document automated test scripts to…","Washington, DC 22202 (Aurora Highlands area)",6
5085,DevSecOps Engineer,Paradyme Management,,"Deep understanding of DevSecOps including proficiency in CI/CD automation.
This role requires technical knowledge, adaptability, hands on execution, and a drive…","Washington, DC•Remote",1
5086,Sales Engineer,Turn-Key Solutions,,"Sale of automation equipment and system integration.
Must pass background check and drug test as a condition of employment.
Full Time+: M-F 8 hours per day.","Germantown, MD",4
5087,Databricks/Spark Engineer - Senior Consultant,Guidehouse,,"Ability to instrument basic automation and CI/CD.
Develop, build, test, and maintain scalable data pipeline architectures and tools.","Washington, DC 20036 (Downtown area)+4 locations",5
5088,Lead Quality Engineer,CollabraLink Technologies,,"5+ years of test automation experience.
Quantify test automation effectiveness and optimize performance.
Identify, solicit, and implement enhancements to the…","McLean, VA 22102•Remote",3
5089,Expert Systems Engineer,"InTec, LLC",,"Assists the Government in directing requirements engineering, solutions engineering, scheduling, reliability, resiliency, services development, integration,…","Fairfax, VA+1 location",6
5090,Research Scientist / Engineer - Wireless Communications,Intelligent Automation,,"Develop, test and document software.
Setup a hardware-in-the-loop testing environment, program network/radio devices, test and evaluate the performance of the…","Rockville, MD 20855",7
5091,Software QA Engineer,"Sulzer US, LLC",,"Design, implement and run automated/manual/regression test cases, load tests, and scripts.
Once submitted, a technical team member will grade and rank your test…","McLean, VA",2
5092,Junior DevOps Engineer,RCM Solutions,,"RCM Solutions delivers project management and systems engineering solutions, driven by tailored best practices that meet or exceed mission performance goals, to…","Annapolis Junction, MD 20701",2
5093,Intelligent Automation Engineer,Aptive,,"Develop automation code in line with TDD.
Ensures automations developed are scalable to the enterprise and sustainable.
Ability to achieve Secret clearance.","Alexandria, VA 22314 (Old Town area)•Remote",1
5094,"Scientist, Systems Integration and Test Engineer",L3Harris Technologies,,"Ensures automation is used to the maximum extent possible with all test activities.
The test engineer will be a point-of-contact for the government customer for…","Chantilly, VA",3
5095,Vehicle Dynamics Engineer,Robotic Research Llc,,Working with Systems and test engineering teams to generate requirements and qualification test plans and data collection methods.,"Gaithersburg, MD 20878",3
5096,Software Engineer (Front End / REACT),Steampunk,,"As a Steampunk Full Stack Developer, you will be working with a team of software engineers, test automation engineers, designers, and product owners to bring…","McLean, VA 22102•Remote",5
5097,MTS Software Engineer,Salesforce,"$110,000 a year","Develop test strategies, design automation frameworks, write unit/functional tests to drive up code coverage and automation metrics.","Herndon, VA",6
5098,Research Engineer/Scientist,Acima Spirits,,Creating analytical methods to examine various advanced software and automation concepts designed to improve air traffic management capabilities.,"Washington, DC",5
5099,Senior .NET DevOps Engineer (Containers),US House Of Representatives - CAO,"$118,345 - $149,523 a year","While this position is for a senior level engineer, junior applicants are welcome to apply.
Proven experience in working with automation tools like Ansible and…","Washington, DC 20515 (Southwest Federal Center area)",2
5100,Lead C++ Systems Engineer - 90291755 - Washington,Amtrak,,"Defines, develops or modifies automated test modules or enterprise wide software systems using disciplined development processes.","Washington, DC 20002 (NoMa area)",5
5101,"Sr. Business Intelligence Engineer, Video Advertising",Amazon.com Services LLC,,"4+ years experience with automation of data ETL pipelines.
Recognize and adopt best practices in reporting/ analysis: data integrity, test design, analysis,…","Arlington, VA",5
5102,Senior Software Engineer / Developer,"A-TEK, Inc.",,"Assist with ongoing automation and virtualization projects while continuing to migrate to the cloud (AWS).
Must have strong working knowledge of the software…","Rockville, MD 20852",4
5103,Sr. Software Engineer III,iZeal,"$119,000 a year","Integrate code coverage and security tools for automation pipelines.
Review, evaluate, and test client/server and web applications.","Sterling, VA 20165",2
5104,Systems Engineer,General Dynamics Information Technology,,"Help internal teams accelerate ITSM automation, application development, modernization, and integration through Agile & DevSecOps transformation, cloud-native…","Annapolis Junction, MD+6 locations",6
5105,Software Development Engineer in Test,"Odyssey Systems Consulting Group, Ltd.",,"Knowledge of and experience in developing and applying automated software test scripts and developing test results.
Experience working with Federal IT Systems.","Maryland City, MD",1
5106,IT Systems Engineer,Bigbear.ai,,"Experience with automation tools (e.g., Flow, Power Automate, or known RPA tools).
BigBear.ai is seeking an experienced IT Systems Engineer with both cloud and…","Columbia, MD 21046",3
5107,Entry-Level Software Developer,Applied Software Inc.,,"Document/create/maintain automation tests, performance tests, procedures, records, and data.
Ability to create and adhere to test design standards.","Fulton, MD 20759",6
5108,Engineer IV - Information Security,VeriSign,,"Solid understanding of Python programming and deployment automation tools (e.g., Ansible, Puppet, Salt Stack).
Proficiency with Linux/Windows/Mac.","Reston, VA 20190 (Sunset Hills area)",2
5109,Senior Professional Test Engineer (51001131),DXC,,"Presentation skills to present test results to individuals and groups.
Designs, develops and evolves automation for database instance deployment, database…","Reston, VA 20191 (Hattontown area)",3
5110,Jr. System Administrator / Technical Support Engineer,Securiport,,"You’ll focus on automation of the infrastructure and system and software build, test, and deployment.
Experience with automated test frameworks, especially in…","Washington, DC",5
5111,"Software Intensive Systems Engineer , Assoc",The MITRE Corporation,,"MITRE seeks professionals with various systems and software engineering expertise (e.g. DevOps, cloud architecture, test automation, process modeling and…","McLean, VA",7
5112,"Quality Manager, Senior",Booz Allen Hamilton,,"You’ll develop and implement a test plan based on design specifications.
You’ll build your experience in various types of testing, including automation.","Springfield, VA",3
5113,Deloitte Fusion Managed Service Remote SOAR Architect,Deloitte,,"Work together with other architects, engineers, designers and product managers to turn our bold product and technical vision into a tangible roadmap.","Rosslyn, VA 22209 (Radnor-Ft Myer Heights area)•Remote",6
5114,Senior Data science Engineer - Remote,RapidSoft Corp,,Duties and Responsibilities: • Develop data solutions in collaboration with other team members and software engineering teams that meet and anticipate business…,"Reston, VA•Remote",7
5115,Principal Software Development Engineer in Test,Akamai,,"You will collaborate with teams to design, implement, maintain and extend effective system test automation solutions.","Reston, VA",4
5116,"Test Engineer, Senior (REMOTE)",AM LLC,,"Identify test scope and test risks.
Execute and report test cycles for manual and automated tests.
Execute and report test cycles for manual and automated tests…","Chantilly, VA",6
5117,Network Engineer (Cloud) - Immediate Need,Grindstone,,"Experience with automation, scripting, and the design of workflows.
The engineer will apply standardized and consistent engineering methods to ensure…","Rockville, MD",1
5118,"Software Test Engineer, Senior",Booz Allen Hamilton,,We need a software engineer in test who will use their passion to learn new tools and techniques and identify needed system improvements.,"Laurel, MD",3
5119,Energy Project Manager,Cushman & Wakefield,,"Create and QC commissioning documents – e.g. Cx plans, test plans, Systems Manuals, and final reports.
Provide consultation to clients or other engineers on…","Washington, DC 20036 (Dupont Circle area)",3
5120,Level 1 or 2 Test Engineer-Active DOD TS/SCI REQUIRED,"E&M Technologies, Inc.","Up to $105,000 a year","Experience with maintaining test automation scripts.
Experience with test automation tool implementation such as Selenium and Cucumber.","Chantilly, VA",5
5121,Automated Functional Test Engineer,Titan Technologies,,"Analyze and identify suitable opportunities for test automation.
Design automation components/modules that can be leveraged across multiple test scripts using a…","Herndon, VA",3
5122,Software Engineer - CTJ,Microsoft,,"Expose test coverage issues, organize and implement integration tests, and resolves problem areas.
In C OR C++ OR C# OR Java OR object-oriented programming; SQL…","Reston, VA 20190 (Sunset Hills area)",5
5123,Software Engineer - Telecommute Nationwide,UnitedHealth Group,,"Candidates are required to pass a drug test before beginning employment.
Create high-quality software by conducting peer design/code reviews and developing…","Washington, DC 20001 (Shaw area)•Remote",5
5124,Test Engineer - Software - Senior,ASRC Federal Holding Company,,"Experience with test case development.
Works with other test organizations to support T&E program integration.","Fort George G Meade, MD 20755",3
5125,Systems Engineer,"SNS One, Inc.",,"Design embedded software to assist with system automation.
You will design and test operating systems-level software.
Troubleshoot and resolve any code issues.","Fort Meade, MD",2
5126,Senior Embedded/Linux Test Engineer,Parsons,,"Test automation experience is desired - ideally for both software and hardware test automation.
Parsons Unconventional Access portfolio provides rapid response…","Fort George G Meade, MD",6
5127,Automation Engineer,Two Six Technologies,,"Develops functional, end-to-end, regression, and performance tests in automated test environments.
Familiarity with other browser automation libraries: Cypress,…","Arlington County, VA+1 location",3
5128,DevOps Engineer,Sayari Analytics,,"As a member of Sayari’s engineering team, you will develop and test infrastructure automation, working cross-functionally to execute and improve development…","Washington, DC 20001 (Chinatown area)",3
5129,Electronic Systems Test Engineer,"CIS Secure Computing, Inc","$70,000 - $105,000 a year","Support pre-test readiness reviews and post-test assessment reviews.
Design, develop, and execute manual and automated test cases using test plans and…","Ashburn, VA 20147",6
5130,Software Engineer 1,LufCo,,"Design, develop, test, debug, refine, and document security tools, solutions, and services.
Development of customized service integrations.","Annapolis Junction, MD",6
5131,Expert Systems Engineer,"Knowledge Management, Inc.",,"Experience with test management to include creation of test plans, test procedures and test reports.
5+ years of experience writing test cases.","Springfield, VA",5
5132,Computer Design Engineer,National Security Agency,"$73,076 - $91,057 a year","Printed Circuit Board (PCB) logic design, simulation and test.
The NSA offers multiple areas of focus for facilities engineers, including computer,…","Fort Meade, MD",4
5133,Senior DevSecOps Engineer,"Credence Management Solutions, LLC",,"Implementation experience with automation tools and frameworks (CI/CD pipelines).
This role can be remote with trips to DC to meet with the customer if needed.","Washington, DC",1
5134,"Specialist, V&V Test Engineering",L3Harris Technologies,,"Document test results and write test reports.
Conduct test and verification activities.
Ability to lead other test Engineers to achieve verification and…","Herndon, VA",2
5135,DevOps Engineer,Red Cedar Consultancy LLC,,"Implement an automation test approach that includes modularity, reusability, configurability, sustainability, and quality.","McLean, VA 22102",3
5136,IT SPECIALIST (INFOSEC),U.S. Army Corps of Engineers,"$103,690 - $134,798 a year","Developing and issuing annual schedule of office automation studies.
About the Position: Serves as the technical expert/authority and project manager…","Alexandria, VA",5
5137,Software Development Engineer in Test Instructor,Cydeo,,"Teach, instruct, and explain with examples End-to-End test automation using OOP programming languages and test automation tools.","McLean, VA 22102",6
5138,Java Software Development Engineer in Test,ASCENDING LLC,,"Setting up, maintaining, and performing test automation frameworks on multiple application platforms, such as Mobile, Desktop, and Web, and building test…","Rockville, MD 20850+1 location",4
5139,System Engineer,Cybercore,,"The selected individual will interface with program Leads, system and software integration engineers, test engineers, information assurance engineers, and other…","Annapolis Junction, MD 20701",2
5140,Senior Quality Assurance Engineer,Ordway,,"Experience writing test cases, creating test plan and test strategy.
Front-end testing experience using automation test frameworks.","Washington, DC 20008 (Cleveland Park area)",3
5141,Sr. MuleSoft Quality Engineer,Buchanan & Edwards,,"Design and delivers automation and automation framework for products with a quality mindset across the organization.
Five (5) years’ experience with MuleSoft.","Arlington, VA 22204 (Alcova Heights area)•Remote",2
5142,SCCM Engineer - Software Packaging,Tranquil Multi Dynamic Advisory,,"Create custom test environments to provide proof of concept before implementing into production.
We provide a consultative approach in partnering with our…","Fort Meade, MD",6
5143,HVAC Electronics Mechanic Leader,US Architect of the Capitol,$35.84 - $41.84 an hour,"Perform operational tests of newly installed systems.
You must be able to pass a drug test.
A candidate must test negative prior to being eligible for…","Washington, DC",2
5144,Software Engineer,DCI Solutions,"$125,000 - $150,000 a year","Participates in the development and execution of software and system test strategies.
Participates in government oversight of contractor software development…","Fort Belvoir, VA",5
5145,Sr. Software Quality Engineer,L3Harris Technologies,,"Experience with open source test automation frameworks.
Leverage physical and physical devices to test and validate software performance where automation isn’t…","Washington, DC+1 location•Remote",6
5146,Automation Test Engineer,System One,$50 - $52 an hour,Work with Business Analyst and Team Leads/Technical Leads to define test scenarios and test cases for the evolving solution in accordance with the Technical…,"Gaithersburg, MD",3
5147,"AWS Linux System Engineer, Cloud Operations",Cvent,,"Develop build, test and deployment automation that seamlessly targets multiple on-premises and AWS regions.
Tackle complex development, automation, and business…","Tysons Corner, VA 22102",1
5148,QA Manager,"US News & World Report ,L.P.",,"News teams, including manual exploratory testing, regression testing and test automation.
The ability to use project and test management tools to communicate…","Washington, DC 20007 (Georgetown area)",4
5149,DSP and Modeling and Simulation Engineer,"Fairwinds Technologies, L",,"Experience with test automation, design and analysis using different tools (Python, MATLAB, Simulink or equivalent).
Experience with SATCOM and LOS systems.","Germantown, MD 20876+1 location•Remote",4
5150,Vue. Js Front End Developer,Deloitte,,"Familiarity with test automation and test-driven development.
Implement and run tests and work closely with QA Engineers to confirm successful functionality.","Rosslyn, VA 22209 (Radnor-Ft Myer Heights area)",7
5151,Facilities Technician/Facilities Engineer,CAMRIS,,"Oversee maintenance of automation systems.
Have strong automation engineering skills and ability.
Must have experience with writing protocols, test scripts,…","Silver Spring, MD",6
5152,Risk Management Framework Cybersecurity Solutions Analyst,Booz Allen Hamilton,,Warnings about cyber threats are everywhere and the constantly evolving nature of these threats can make understanding them seem overwhelming to military…,"Washington, DC",7
5153,"Senior CI-CD Tester, Veterans Affairs",Peraton,"Up to $167,482 a year","Expertise in having built automation framework from scratch to aid with regression and other repeatable tests.
5 years of IT Experience.","Chantilly, VA•Remote",7
5154,Software Engineer - Level 0 (RR) RRCR-6734,Clarity Innovations,,"Reviews and tests software components for adherence to the design requirements and documents test results.
Works individually or as part of a team.","Annapolis Junction, MD",4
5155,Project Engineer - Robotics,Prescient Edge Federal,,"Experience in assessment or other test condition projects.
Awareness in one or more robotics/automation technical areas.
C/C++, Python, Java, C# / .NET.","McLean, VA 22102",6
5156,Automation Engineer,Logical Paradigm LLC,,"We are looking for Automation Engineer with experience in building and enhancing test automation frameworks to join our team.
Job Types: Full-time, Contract.","Sterling, VA",5
5157,Application Engineer / Senior Consultant,Paradyme Management,,"Researches, tests, builds, and integrates enhancements or new products based on client requirements.
Experience with dependency management, build & release and…","Washington, DC•Remote",3
5158,DevSecOps Engineer,OneWeb,,"Experience with security monitoring tools and automation.
Support development, integration, test, and operations.","Tysons Corner, VA",4
5159,Software Configuration Management Engineer,Robotic Research Llc,,"This role requires utilization of Atlassian suite of products (Jira, Fisheye, Crucible, Confluence) and experience with build automation Scripts, in-depth…","Gaithersburg, MD 20878",7
5160,Senior System Engineer (Government),AT&T,,"This individual will provide Senior level assistance/leadership with the design, development, integration, configuration, deployment, security, test, training,…","Columbia, MD",1
5161,Test Engineer - Software - Mid,ASRC Federal Holding Company,,"Experience with test case development.
Works with other test organizations to support T&E program integration.","Fort George G Meade, MD 20755",6
5162,Test Engineer 3 (Linux),INNOPLEX,,"Testers should have test automation experience.
Manage T&E resources and tasks; ensure quality assurance of test processes and products.","Annapolis Junction, MD",5
5163,DevSecOps Engineer-Ansible-TS REQUIRED,Leidos,,"Hands-on technical experience in at least one of the following areas: software development, software test automation, system administration/deployment.","Chantilly, VA 20151",6
5164,Cloud Infrastructure Architect,Deloitte,,"Oversee cloud infrastructure design and develop detailed architecture models for the client to host test, development, and production environments.","Rosslyn, VA 22209 (Radnor-Ft Myer Heights area)",1
5165,BOC Specialist 2,"M.C. Dean, Inc.",,"Assists engineers on specific issues and with energy related optimization projects.
Debugs and simulates programs, checks calibration of hardware/software…","Washington, DC 20018 (Langdon area)",3
5166,Software Development Test Engineer,Change Healthcare,,"Participate in code coverage/test coverage analysis to increase test coverage.
Possesses good debugging, development, test, automation code and tools review…","Washington, DC",5
5167,Software Engineer (Geospatial Data Services) 07-SO0902-- McL...,Probity Inc.,,"Experience with automation technologies (Ansible, Puppet) or a desire to learn and build systems with automation technologies.
Hands-on experience with Linux.","McLean, VA",4
5168,BOC Specialist 2,"M.C. Dean, Inc.",,"Assists engineers on specific issues and with energy related optimization projects.
Debugs and simulates programs, checks calibration of hardware/software…","Washington, DC 20018 (Langdon area)",2
5169,Software Development Test Engineer,Change Healthcare,,"Participate in code coverage/test coverage analysis to increase test coverage.
Possesses good debugging, development, test, automation code and tools review…","Washington, DC",3
5170,Software Engineer (Geospatial Data Services) 07-SO0902-- McL...,Probity Inc.,,"Experience with automation technologies (Ansible, Puppet) or a desire to learn and build systems with automation technologies.
Hands-on experience with Linux.","McLean, VA",2
5171,DevOps Software Engineer,Applied Network Solutions Inc,,"Integrate automations solutions with Ansible and Cisco NSO.
Create, test and field applications which improve efficiencies.
401(k) plan with Company Match.","McLean, VA",3
5172,System Engineer I,"C2 Technology Solutions, Inc.",,"Experience with automation applications or technologies.
Designs, documents, tests, debugs, and monitors applications software and systems that contain logical…","Columbia, MD",3
5173,QA Automation Engineer,Cellebrite,,"Establish processes to generate regular test reports.
Build, enhance and maintain our automated testing test infrastructure.","Vienna, VA 22182•Remote",5
5174,SDET - Empirix Hammer Call Master,BRMi,,2+ years of experience using HP ALM/Quality Center for requirements / test case / defect tracking; including experience integrating automation with HP ALM…,"Chantilly, VA 20151",1
5175,Mid-Level Engineers,Cavan Solutions,,"Develop, review, maintain, and test air traffic automation and decision support system adaptation data.
Provide engineering expertise to FAA NAS modernization…","Washington, DC 20024 (Southwest Federal Center area)",7
5176,Junior Software Engineer,"Criterion Systems, Inc.",,"Developing software test and test-automation suites.
Experience with test-driven development and automated testing frameworks.
Must have a Bachelor's degree.","Herndon, VA",1
5177,Devops Test Engineer,Iquasar,,"As an Automation Tester, you will work with other testers who are developing system level test cases to provide recommendations where you can automate those…","Chantilly, VA 20151",3
5178,IT Subject Matter Specialist,TechGuard,,"Research, engineer, test, and propose specific solutions to satisfy VIP, business critical or unique requirements and facilitate implementation of the solution…","Fort Meade, MD",1
5179,Senior Software Quality Assurance Engineer,Octo,,"Support test planning, test design, test procedures, test scripts, test execution, and test evaluation.
Collaborate with the Business Analysts, Developers and…","Reston, VA 20191 (Hunter area)•Remote",1
5180,Automation Engineer,Logical Paradigm LLC,,"We are looking for Automation Engineer with experience in building and enhancing test automation frameworks to join our team.
Job Types: Full-time, Contract.","Sterling, VA",5
5181,Penetration Testing Engineer,"Amazon Dev Center U.S., Inc.",,"Provide clear communication on issues to developers that suggest and help to test the fix.
The AWS surface area is large and diverse, and we use results found…","Arlington, VA",2
5182,Sr. Systems Engineer,Oasis Systems LLC,,"Experience and strong understanding of FAA surveillance systems, air traffic automation, and related systems is required.","Washington, DC",5
5183,Information Assurance /Vulnerability Assessment Engineer,"Abile Group, Inc.",,"Scanning and Operations Support to include supporting the test/scanning environment, licensing, target asset refreshes, and credentials.","Lorton, VA",1
5184,Lead Software Engineer,Finra,,"The Lead Developer, working independently, will develop, test, debug and document software components commensurate with their experience as well as direct…","Rockville, MD 20850",4
5185,Software Development Engineer,"Amazon Dev Center U.S., Inc.",,You like to write high-quality code with thorough test coverage as you mentor new developers so they can learn from your CRs.,"Arlington, VA+9 locations",3
5186,Mission Systems Engineer,Serco North America,,The successful candidate will be integrated into the Program Office Mission and Test teams solving technical challenges and overseeing changes to Mision and…,"Washington, DC 20005 (Logan Circle area)",6
5187,System Engineer,"Cinteot, Inc.",,"Experience with architecting automated test designs.
Experience in providing support to enterprise test activities to oversee end-to-end mission thread…","Herndon, VA",5
5188,Software Automation Engineer III,Powersolv,,"Defines standards, methods and procedures for test automation.
Builds and manages automation framework and performance tests.","Washington, DC",3
5189,Data Engineer II,MasterCard,,"Contribute to the automation capabilities of the team.
Independently execute projects through design, implementation, automation, and maintenance of large-scale…","Arlington, VA•Temporarily Remote",6
